row	addr	desc_addr	original	byte_len	category	note
140	ds:9C6E	ds:9C6A	Item Fails	10	ui	
141	ds:9C7C	ds:9C78	Spell Fails	11	ui	
142	ds:9C92	ds:9C8E	does not have	13	ui	
143	ds:9CA4	ds:9CA0	the Priesthood	14	ui	
144	ds:9CB6	ds:9CB2	and cannot	10	ui	
145	ds:9CC4	ds:9CC0	dispell.	8	ui	
146	ds:9CD2	ds:9CCE	has already	11	ui	
147	ds:9CE2	ds:9CDE	dispelled	9	ui	
148	ds:9CF0	ds:9CEC	this combat.	12	ui	
149	ds:9D02	ds:9CFE	is not a	8	ui	
150	ds:9D0E	ds:9D0A	wizard	6	ui	
151	ds:9D18	ds:9D14	and cannot	10	ui	
152	ds:9D26	ds:9D22	dispell.	8	ui	
153	ds:9D36	ds:9D32	None of these	13	ui	
154	ds:9D48	ds:9D44	monsters are	12	ui	
155	ds:9D58	ds:9D54	undead!	7	ui	
156	ds:9D68	ds:9D64	Attempting	10	ui	
157	ds:9D76	ds:9D72	dispell	7	ui	
158	ds:9D84	ds:9D80	Ignores priest.	15	ui	
159	ds:9DA0	ds:9D9C	dies.	5	ui	
160	ds:9DE0	ds:9DDC	)	1	data	
161	ds:9DE6	ds:9DE2	*	1	data	
162	ds:9DF0	ds:9DEC	This character has no items to use!	35	ui	
163	ds:9E20	ds:9E1C	Use:  (ESC exits)	17	ui	
164	ds:9E38	ds:9E34	Not a valid magical item!	25	ui	
165	ds:9E60	ds:9E5C	Do you wish to use the potion on Y)ourself or T)oss it to another character?       	83	ui	spec/19 §1.1 範例句(CMBT 版:T)oss;CAMP #92 是同一句的 G)ive 版)
166	ds:9EB8	ds:9EB4	                 	17	data	
167	ds:9ECE	ds:9ECA	 (ESC cancels)	14	ui	
168	ds:9EE8	ds:9EE4	Toss it to which	16	ui	
169	ds:9EFC	ds:9EF8	character?	10	ui	
170	ds:9F0A	ds:9F06	char #: 	8	ui	
171	ds:9F18	ds:9F14	T	1	data	
172	ds:9F20	ds:9F1C	Aack!  There is something wrong with the data files, please restore!	68	ui	
173	ds:9F70	ds:9F6C	MONSTERS.DAT	12	data	檔名/模組名,不是句子,⛔ 不譯 — MONSTERS.DAT
174	ds:9F88	ds:9F84	R	1	data	
175	ds:9FBA	ds:9FB6	BR	2	data	
176	ds:9FC0	ds:9FBC	DD	2	data	
177	ds:9FDE	ds:9FDA	0   0  	7	data	
178	ds:9FEA	ds:9FE6	0      	7	data	
179	ds:9FF6	ds:9FF2	Status: 	8	ui	
180	ds:A002	ds:9FFE	Seeks> 	7	ui	
181	ds:A012	ds:A00E	YES	3	ui	
182	ds:A01A	ds:A016	no	2	ui	
183	ds:A020	ds:A01C	Speed:    	10	ui	
184	ds:A02E	ds:A02A	Skill:    	10	ui	
185	ds:A03C	ds:A038	Strength: 	10	ui	
186	ds:A04A	ds:A046	Magical:  	10	ui	
187	ds:A058	ds:A054	Armor rating:	13	ui	
188	ds:A06A	ds:A066	Attacks with:	13	ui	
189	ds:A07C	ds:A078	 * 	3	data	
190	ds:A084	ds:A080	 *	2	data	
191	ds:A08A	ds:A086	(ESC, 	6	ui	
192	ds:A094	ds:A090	 scrolls)	9	ui	
