row	addr	desc_addr	original	byte_len	category	note
89	ds:7C9C	ds:7C98	      Items:	12	ui	
90	ds:7CB4	ds:7CB0	Human	5	ui	
91	ds:7CC2	ds:7CBE	H	1	data	
92	ds:7CC8	ds:7CC4	Troll	5	ui	
93	ds:7CD2	ds:7CCE	Dwarf	5	ui	
94	ds:7CDC	ds:7CD8	E	1	data	
95	ds:7CE2	ds:7CDE	Elf	3	ui	
96	ds:7CEA	ds:7CE6	Gnome	5	ui	
97	ds:7CF4	ds:7CF0	G	1	data	
98	ds:7CFA	ds:7CF6	error	5	na-debug	
99	ds:7D0E	ds:7D0A	)	1	data	
100	ds:7D16	ds:7D12	*	1	data	
