row	addr	desc_addr	original	byte_len	category	note
77	ds:9484	ds:9480	DT	2	data	
78	ds:9494	ds:9490	Which party member do you wish to heal? (0 exits) 	50	ui	spec/19 §1.1 範例句
79	ds:94D4	ds:94D0	That character can't be helped here !	37	ui	
80	ds:9512	ds:950E	healed	6	ui	
81	ds:951C	ds:9518	 pts.	5	ui	
82	ds:9526	ds:9522	 is	3	ui	
83	ds:952E	ds:952A	This pool is empty!	19	ui	
84	ds:9552	ds:954E	found an item.	14	ui	
85	ds:9568	ds:9564	Your party is full of items, please discard some from Camp.	59	ui	spec/19 §1.1 範例句,一字不差
86	ds:95BC	ds:95B8	.BIN	4	data	
87	ds:95D0	ds:95CC	WRLDMOVE	8	data	
88	ds:95DC	ds:95D8	Leaving maze ..     	20	ui	
89	ds:95FC	ds:95F8	Making Camp..       	20	ui	
90	ds:9614	ds:9610	    C O M B A T !   	20	ui	
91	ds:962C	ds:9628	    B A T T L E !   	20	ui	
