row	addr	desc_addr	original	byte_len	category	note
109	ds:7842	ds:783E	bm	2	data	
110	ds:7848	ds:7844	mazedata.bin	12	data	
111	ds:7858	ds:7854	startup.bin	11	data	
112	ds:786E	ds:786A	Please check this disk, I think it is the wrong one.	52	na-disk	
113	ds:78AE	ds:78AA	Please check the drive door, I think you have it open.	54	na-disk	
114	ds:78F0	ds:78EC	I'm awfully sorry, but your machine is having I/O problems.	59	na-disk	
115	ds:7938	ds:7934	I'm not feeling well #	22	na-disk	
116	ds:7968	ds:7964	What is the maximum value for any statistic without magical aid (Traits, pg 3)	78	na-disk	
117	ds:79C0	ds:79BC	What is the maximum number of characters you can store on disk (Character,      L)ist, pg 3)	92	na-disk	
118	ds:7A24	ds:7A20	The bonus a Gnome character gets to his Int (Racial Modifiers Chart, pg 3)	74	na-disk	
119	ds:7A76	ds:7A72	What is the maximum damage of a Small Axe (Weapons Chart, pg 7)	63	na-disk	
120	ds:7ABE	ds:7ABA	What is the Protection of Chain Armor (Armor Chart, pg 7)	57	na-disk	
121	ds:7B00	ds:7AFC	What is the cost of an Oil Lantern (Miscellaneous Items, pg 7)	62	na-disk	
122	ds:7B46	ds:7B42	What is the Movement Point Cost to Attack an object in front of you ('A' Key,   Chart, pg 8)	92	na-disk	
123	ds:7BAA	ds:7BA6	What is the minimum Spell Points to cast a Flame Shield (Minimum Spell Points   Chart, pg 11)	93	na-disk	
124	ds:7C10	ds:7C0C	What is the Bonus Damage by Strength for a character with a Strength of 20      (Chart, pg 11)	94	na-disk	
125	ds:7C72	ds:7C6E	What is the Maximum S.P. gain per level for a Wizard with an Intellect of 19    (Chart, pg 12)	94	na-disk	
126	ds:7CD4	ds:7CD0	The Shard of Spring	19	na-disk	
127	ds:7CEC	ds:7CE8	(0 Exits)	9	na-disk	
128	ds:7D02	ds:7CFE	 ? 	3	na-disk	
129	ds:7D0E	ds:7D0A	I'm sorry, try again later....	30	na-disk	
130	ds:7D30	ds:7D2C	That is not correct, please try again...	40	na-disk	
131	ds:7D68	ds:7D64	You do not have enough memory (	31	na-disk	
132	ds:7D8C	ds:7D88	K) to run this game	19	na-disk	
133	ds:7DA4	ds:7DA0	256K is required, 320K is prefered. Press any key...	52	na-disk	
134	ds:7DDC	ds:7DD8	Microsoft has recommended that this product be run	50	na-disk	
135	ds:7E12	ds:7E0E	with at least 320K of RAM, preferably 384K.	43	na-disk	
136	ds:7E42	ds:7E3E	Press any key...	16	na-disk	
137	ds:7E5C	ds:7E58	You can not run Shard of Spring, you don't	42	na-disk	
138	ds:7E8A	ds:7E86	have a graphics monitor!!!!  Press any key...	45	na-disk	
139	ds:7EC0	ds:7EBC	One floppy,	11	na-disk	
140	ds:7ED0	ds:7ECC	Two floppies,	13	na-disk	
141	ds:7EE2	ds:7EDE	Z	1	data	
142	ds:7EE8	ds:7EE4	Fixed or RAM disk (	19	na-disk	
143	ds:7F00	ds:7EFC	:),	3	data	
144	ds:7F08	ds:7F04	? disks,	8	na-disk	
145	ds:7F14	ds:7F10	 CRT monitor.	13	na-disk	
146	ds:7F2A	ds:7F26	 LCD or EGA display.	20	na-disk	
147	ds:7F42	ds:7F3E	 delay of	9	na-disk	
148	ds:7F50	ds:7F4C	Don, Leslie, and Martin thank you for playing the Shard of Spring.	66	ui	Don/Leslie/Martin 為真實開發者,非遊戲世界專有名詞;沿用「中文(英文)」格式僅為可讀性,非 glossary 硬規則4 的適用範圍。
