row	field	original	orig_bytes	translation	trans_bytes	fits	note
14	6	Frozen in ice	13	被冰封凍結	10	Y	對應狀態表「冰封」,見 glossary
15	1	SPIRIT WRACK	12	滅魂術	6	Y	精訊 1987 官方譯名(手冊 p.26–29);原譯「靈魂折磨」已汰換
15	6	Is tormented...	15	受盡折磨……	12	Y	
16	1	WEAKEN	6	衰弱術	6	Y	精訊 1987 官方譯名(手冊 p.26–29);原譯「虛弱術」已汰換
16	6	Becomes weaker	14	變得虛弱	8	Y	
17	1	CLUMSINESS	10	愚蠢術	6	Y	精訊 1987 官方譯名(手冊 p.26–29);原譯「笨拙術」已汰換
17	6	Becomes clumsy	14	變得笨拙	8	Y	
18	1	MELT	4	溶解術	6	Y	精訊 1987 官方譯名(手冊 p.26–29);原譯「融化術」已汰換
18	6	Is melted from   the ice	24	從冰封中融化解除	16	Y	
19	1	BREAK BONDS	11	破鐐銬術	8	Y	精訊 1987 官方譯名(手冊 p.26–29);原譯「解縛術」已汰換
19	6	Has bonds broken	16	束縛已解除	10	Y	
20	1	FREEDOM	7	自由術	6	Y	
20	6	Is freed	8	獲得自由	8	Y	
21	1	WIND WALK	9	風行術	6	Y	
21	6	The party is      displaced	27	全隊被瞬間移動	14	Y	
22	1	BREATH OF LIFE	14	生命之氣	8	Y	精訊 1987 官方譯名(手冊 p.26–29);原譯「生命之息」已汰換
22	6	Is healed for	13	恢復	4	Y	
23	1	HEAL	4	醫療術	6	Y	精訊 1987 官方譯名(手冊 p.26–29);原譯「治療術」已汰換
23	6	Is healed for	13	恢復	4	Y	
24	1	RESURRECT	9	復活術	6	Y	
24	6	Is revived!	11	復活了!	7	Y	
25	1	CURE POISON	11	解毒術	6	Y	
25	6	Is unpoisoned	13	解除中毒	8	Y	
26	1	TRANSFERENCE	12	移轉術	6	Y	精訊 1987 官方譯名(手冊 p.26–29);原譯「轉移術」已汰換
26	6	Gains power	11	獲得力量	8	Y	
27	1	ARMOR	5	護甲術	6	N	超出原文 1 bytes
27	6	Clothed in armor	16	被護甲包覆	10	Y	
28	1	SANCTUARY	9	聖靈庇護術	10	Y	精訊 1987 官方譯名(手冊 p.26–29);原譯「庇護術」已汰換
28	6	Is Enveloped in an aura of peace	32	被祥和的靈光籠罩	16	Y	
29	1	ICE SHIELD	10	冰盾術	6	Y	
29	6	Protected by    a wall of ice	29	受冰牆保護	10	Y	
30	1	FLAME SHIELD	12	火焰盾牌術	10	Y	精訊 1987 官方譯名(手冊 p.26–29);原譯「火盾術」已汰換
30	6	Protected by    flames	22	受烈焰保護	10	Y	
31	1	MAGIC TORCH	11	魔火焰術	8	Y	精訊 1987 官方譯名(手冊 p.26–29);原譯「魔法火炬」已汰換
31	6	Magic flames     dance before you	33	魔法火焰在眼前躍動	18	Y	
32	1	CRYSTALIGHT	11	水晶燈術	8	Y	精訊 1987 官方譯名(手冊 p.26–29);原譯「水晶之光」已汰換
32	6	Icy Blue light    surrounds you	31	冰藍色光芒環繞著你	18	Y	
33	1	ET CETERA	9	等等	4	Y	哨兵列(ET CETERA),不是真正的法術,收進來但不譯作遊戲內文字
33	6	0	1	0	1	Y	哨兵列數值欄位,原樣保留
