row	addr	original	orig_bytes	translation	trans_bytes	fits	note	wired
90	ds:75C2	This character has no items to use!	35	這位角色沒有可用的道具!	23	Y		engine/camp_actions.go
91	ds:75F2	You really can't make use of this!	34	你真的沒辦法用這個!	19	Y		engine/use_item.go
92	ds:7628	Do you wish to use the potion on Y)ourself or G)ive it to another character?       	83	你要把藥劑用在 Y)自己身上,還是 G)交給另一位角色?	48	Y	spec/19 §1.1 範例句(CAMP 版:G)ive;CMBT #165 是同一句的 T)oss 版)	engine/use_item.go
93	ds:7680	                  (ESC cancels)	31	                  (ESC取消)	27	Y		engine/use_item.go
95	ds:76B2	Give it to which	16	要交給哪位	10	Y		engine/use_item.go
96	ds:76C6	character?	10	角色?	5	Y		engine/use_item.go
97	ds:76D4	char #: 	8	角色 #： 	8	Y		engine/use_item.go
100	ds:76F0	That is a Combat Item!	22	那是戰鬥用道具!	15	Y	spec/19 §1.1 範例句,一字不差	engine/camp_actions.go
101	ds:7712	Character # to cast on ?  (ESC exits)	37	要對哪位角色施法?(ESC離開)	26	Y		engine/camp_actions.go
102	ds:774A	 pts!	5	 點!	4	Y	引擎的版面與原版不同,這一段結構上對不起來(見 docs/spec/19 §6.1 的第二種成因)。` pts!` 是句尾片段,引擎的對應句子沒有拆成這個形狀。	
103	ds:7754	Character # to cast on ?  (ESC exits)	37	要對哪位角色施法?(ESC離開)	26	Y		engine/camp_actions.go
104	ds:7786	Lives !	7	活過來了!	9	9		engine/internal/magic/magic.go
105	ds:7796	Is cured.	9	被治癒了。	10	10		engine/internal/magic/magic.go
106	ds:77A4	Notices no change	17	沒有感到變化	12	Y	原版同一句有兩份(另一份措辭/標點不同),引擎只有一份實作 —— 已接到另一份那一列。與 CMBT:128/129 同一句,標點不同 —— 引擎用 magic.MsgNoDifference(CMBT 那一份)。	engine/use_item.go
107	ds:77BA	Character # to cast on ?  (ESC exits)	37	要對哪位角色施法?(ESC離開)	26	Y		engine/camp_actions.go
108	ds:77E8	 notices no change!	19	 沒有感到任何變化!	18	Y	原版同一句有兩份(另一份措辭/標點不同),引擎只有一份實作 —— 已接到另一份那一列。同 106 列。	engine/camp_actions.go
109	ds:780A	A roaring blast of wind buffets the party and when the noise subsides...	72	一陣怒吼般的狂風吹襲隊伍,當聲響平息之後……	41	Y	⛔ 引擎沒有這個功能,而且**規則沒讀出來** —— 照 CLAUDE.md §2 的閘門,補之前要先回 RE(缺口列在 docs/spec/19-coverage.md §2)。營地放某個法術之後的敘述(狂風),**是哪一個法術沒讀到**。	
127	ds:7A18	Item Breaks !	13	道具損壞了!	11	Y	⛔ 引擎沒有這個功能,而且**規則沒讀出來** —— 照 CLAUDE.md §2 的閘門,補之前要先回 RE(缺口列在 docs/spec/19-coverage.md §2)。同 CMBT:22(道具損壞)。	engine/use_item.go
128	ds:7A2A	Spell Fails !	13	法術失效!	9	Y		engine/use_item.go
130	ds:7A58	You don't have that skill.	26	你沒有那項技能。	16	Y	檔名/模組名,不是句子,⛔ 不譯 — spells.dat	engine/internal/town/camp.go
131	ds:7A7E	That character is incapacitated.	32	這位角色行動不能。	18	Y		engine/internal/town/camp.go
132	ds:7AAA	You have used that skill today.	31	你今天已經用過那項技能了。	26	Y		engine/internal/town/camp.go
133	ds:7AD6	That character is not a wizard.	31	這位角色不是巫師。	18	Y		engine/internal/town/camp.go
134	ds:7B02	You now have about	18	你現在大約還有	14	Y	⛔ 引擎沒有這個功能,而且**規則沒讀出來** —— 照 CLAUDE.md §2 的閘門,補之前要先回 RE(缺口列在 docs/spec/19-coverage.md §2)。照明剩餘回合:`GROUPS.DAT` 位移 45 有 LightTurns 這個欄位,但**它怎麼減、光源給幾回合沒讀過**。	
135	ds:7B18	 turns of light.	16	 回合的照明。	13	Y	⛔ 引擎沒有這個功能,而且**規則沒讀出來** —— 照 CLAUDE.md §2 的閘門,補之前要先回 RE(缺口列在 docs/spec/19-coverage.md §2)。同 134 列。	
137	ds:7B5E	dies in the night.	18	在夜裡死去。	12	Y		engine/town_scene.go
138	ds:7B78	 LVL: 	6	 等級： 	6	7		engine/camp_actions.go
139	ds:7B8C	H.P.   	7	生命 	5	Y		engine/camp_actions.go
140	ds:7B98	S.P.   	7	法力 	5	Y		engine/camp_actions.go
141	ds:7BA4	Exp.  	6	經驗 	5	Y		engine/camp_actions.go
142	ds:7BAE	Stat.  	7	狀態	4	Y	'Stat.' 是 Status 的縮寫,不是屬性(docs/re/150 §1.1 的實跑版面:`Stat.   OK`)	engine/camp_actions.go
143	ds:7BBC	      Skills:	13	      技能：	6	Y		engine/camp_actions.go
144	ds:7BD4	      Items:	12	      道具：	6	Y		engine/camp_actions.go
145	ds:7BEC	Human	5	人類	4	Y		engine/internal/original/chars.go;engine/internal/rules/race.go
146	ds:7BFA	Troll	5	巨魔	4	Y		engine/internal/original/chars.go;engine/internal/rules/race.go
147	ds:7C04	Dwarf	5	矮人	4	Y		engine/internal/original/chars.go;engine/internal/rules/race.go
148	ds:7C0E	Elf	3	精靈	4	4		engine/internal/original/chars.go;engine/internal/rules/race.go
149	ds:7C16	Gnome	5	地精	4	Y		engine/internal/original/chars.go;engine/internal/rules/race.go
