row	addr	original	orig_bytes	translation	trans_bytes	fits	note	wired
55	ds:72CE	Do you wish to: T)alk with other adventurers, B)uy food? (ESC to exit)	70	你想要：T)與其他冒險者交談,B)購買食糧?(ESC離開)	47	Y		engine/town_scene.go
58	ds:732E	One day's food for the party costs	34	隊伍一天的食糧花費	18	Y		engine/town_scene.go
59	ds:7354	 gold.  How many rations (1-9, 0 exits) ?	41	 金幣。要買幾份口糧?(1–9,0離開)	31	Y		
60	ds:738E	Done!	5	完成!	5	Y		engine/town_scene.go
75	ds:7B80	Aack!, There is something wrong with your disks!	48	啊咧!你的磁片好像有問題!	24	Y		engine/main.go
76	ds:7BC6	You don't have	14	你沒有	6	Y	與 CAMP #85 同義,合併對照 spec/19 §1.1	engine/internal/town/town.go
77	ds:7BD8	enough gold!	12	足夠的金幣!	11	Y		engine/internal/town/town.go
81	ds:7C20	dies in the night.	18	在夜裡死去。	12	Y		
82	ds:7C3A	 LVL: 	6	 等級： 	6	7		engine/camp_actions.go
83	ds:7C4E	H.P.   	7	生命 	5	Y		engine/camp_actions.go
84	ds:7C5A	S.P.   	7	法力 	5	Y		engine/camp_actions.go
86	ds:7C6C	Exp.  	6	經驗 	5	Y		engine/camp_actions.go
87	ds:7C76	Stat.  	7	狀態	4	Y	'Stat.' 是 Status 的縮寫,不是屬性(docs/re/150 §1.1 的實跑版面:`Stat.   OK`)	engine/camp_actions.go
88	ds:7C84	      Skills:	13	      技能：	6	Y		engine/camp_actions.go
89	ds:7C9C	      Items:	12	      道具：	6	Y		engine/camp_actions.go
90	ds:7CB4	Human	5	人類	4	Y		engine/internal/original/chars.go;engine/internal/rules/race.go
92	ds:7CC8	Troll	5	巨魔	4	Y		engine/internal/original/chars.go;engine/internal/rules/race.go
93	ds:7CD2	Dwarf	5	矮人	4	Y		engine/internal/original/chars.go;engine/internal/rules/race.go
95	ds:7CE2	Elf	3	精靈	4	4		engine/internal/original/chars.go;engine/internal/rules/race.go
96	ds:7CEA	Gnome	5	地精	4	Y		engine/internal/original/chars.go;engine/internal/rules/race.go
